"replication","theta_101","analysis_model","param","estimate","se","ci_lower","ci_upper","p_value"
1,0,"MLM","pi101",-0.975670175135859,0.0169503895633282,-1.00889293867998,-0.942447411591736,0
1,0,"MLM","theta101",NA,NA,NA,NA,NA
1,0,"MLM","gamma_01j",0.520751189117199,0.028436161188409,0.465016313187918,0.576486065046481,0.00000000000000000000000000000000000000000000000000000000000000000000000000651875920244164
1,0,"MLM","gamma_11j",0.0780908337327368,0.0168823369071208,0.0450014533947801,0.111180214070693,0.00000373526626016355
1,0,"MLM","tau_01j",NA,NA,NA,NA,NA
1,0,"MLM","tau_11j",NA,NA,NA,NA,NA
1,0,"MELSM","pi101",-0.97564786542,0.0163496118223229,-1.0056293725,-0.94369968,NA
1,0,"MELSM","theta101",0.0259828613323834,0.0234084968655533,-0.018922885325,0.076284968475,NA
1,0,"MELSM","gamma_01j",0.52016097546,0.0292663461463158,0.46340162425,0.576518131,NA
1,0,"MELSM","gamma_11j",0.078822401052,0.0174837502200342,0.045467100825,0.1151290045,NA
2,0,"MLM","pi101",-1.00816855398312,0.0169331857823055,-1.04135759811644,-0.974979509849805,0
2,0,"MLM","theta101",NA,NA,NA,NA,NA
2,0,"MLM","gamma_01j",0.489495543994553,0.0285607880081891,0.433516399498502,0.545474688490604,0.00000000000000000000000000000000000000000000000000000000000000000763031704053391
2,0,"MLM","gamma_11j",0.120997123905462,0.0169110962793466,0.0878513751979429,0.154142872612981,0.00000000000083736786343752
2,0,"MLM","tau_01j",NA,NA,NA,NA,NA
2,0,"MLM","tau_11j",NA,NA,NA,NA,NA
2,0,"MELSM","pi101",-1.00678553822,0.016424438259158,-1.0382506,-0.97314757175,NA
2,0,"MELSM","theta101",0.008924660476204,0.0209065560210244,-0.032034530825,0.050236328575,NA
2,0,"MELSM","gamma_01j",0.4881747893,0.0283405102484213,0.43309903575,0.54459756075,NA
2,0,"MELSM","gamma_11j",0.12169612779,0.0182151133259299,0.0867421898,0.1547709715,NA
3,0,"MLM","pi101",-1.01845086129955,0.0177131449594471,-1.05316862542007,-0.983733097179033,0
3,0,"MLM","theta101",NA,NA,NA,NA,NA
